Column1,day_of_year,daily_avg_solar_flux_W/m2,daily_rain_mm/day
92,1,7.068027211,
457,1,95.80272109,-0.2
822,1,88.42176871,0
93,2,1.653061225,
458,2,63.1292517,-0.3
823,2,97.90476191,-0.3
94,3,3.727891157,1.87826087
459,3,93.18367347,6.4
824,3,85.78231293,3.3
95,4,42.49659864,0.2
460,4,7.401360544,23.6
825,4,0.591836735,92
96,5,83.50340136,0
461,5,13.19727891,0.3
826,5,2.040816327,37.5
97,6,88.53741497,2
462,6,55.81632653,-0.3
827,6,7.367346939,7.2
98,7,72.89795918,2.1
463,7,97.66666667,0
828,7,11.38095238,1
99,8,88.82993197,0
464,8,98.40136054,-0.2
829,8,2.585034014,24.29090909
100,9,90.27891157,-0.1
465,9,98.47619048,0
830,9,5.272108844,
101,10,97.14285714,0.1
466,10,96.44217687,0
831,10,26.91836735,0
102,11,62.79591837,1.7
467,11,65.86394558,0.5
832,11,87.72108844,0
103,12,78.29931973,0
468,12,49.70748299,0.7
833,12,66,2.3
104,13,84.31972789,0
469,13,105.1292517,-0.5
834,13,98.17687075,0
105,14,3.619047619,23.8
470,14,106.6462585,0
835,14,98.41496599,-0.2
106,15,12.45578231,2
471,15,105.1156463,-0.2
836,15,102.7414966,0
107,16,15.1292517,1
472,16,109.8639456,-0.5
837,16,102.122449,0.2
108,17,59.06802721,10.4
473,17,107.9387755,0
838,17,106.0612245,-0.5
109,18,4.108843537,23.2
474,18,104.4285714,-0.3
839,18,107.7346939,0.3
110,19,12.72789116,0
475,19,107.0340136,-0.3
840,19,108.3469388,0
111,20,64.23809524,0.2
476,20,96.07482993,0
841,20,61.06802721,1.3
112,21,96.80952381,0
477,21,113.9591837,0
842,21,14.38095238,6.1
113,22,107.8571429,0
478,22,115.4217687,-0.2
843,22,10.85034014,2.6
114,23,110.9897959,0
479,23,115.7346939,0
844,23,8.891156463,0.4
115,24,112.5918367,0
480,24,115.0136054,0
845,24,6.265306122,7.7
116,25,119.0272109,-0.2
481,25,116.4897959,-0.3
846,25,3.62585034,12.7
117,26,111.7278912,2.5
482,26,92.41496599,0
847,26,63.7414966,0.3
118,27,99.65306122,0.8
483,27,96.11564626,0
848,27,4.258503401,29.7
119,28,49.7414966,6.1
484,28,99.10884354,-0.2
849,28,10.55782313,12.4
120,29,85.19047619,0
485,29,122.5986395,0
850,29,8.639455782,10
121,30,38.61904762,20.5
486,30,123.4761905,0
851,30,53.20408163,2
122,31,6.149659864,0
487,31,126.2653061,0
852,31,58.62585034,18.8
123,32,54.60544218,2.8
488,32,129.6666667,-0.3
853,32,117.2176871,1.1
124,33,67.1292517,2.1
489,33,125.9115646,0
854,33,76.26530612,26.6
125,34,123.3061225,0
490,34,131.6802721,0
855,34,104.0204082,19.3
126,35,86.23129252,9.9
491,35,127.4285714,-0.2
856,35,60.95238095,0
127,36,130.4897959,4.55E-13
492,36,101.0272109,0
857,36,139.2380952,0
128,37,122.7346939,0
493,37,134.5510204,-0.3
858,37,133,0
129,38,138.4897959,0.3
494,38,58.91836735,5.4
859,38,107.2993197,0
130,39,142.3333333,0
495,39,67.78911565,12.16744186
860,39,129.5034014,0
131,40,139.4897959,0
496,40,3.68707483,
861,40,141.0340136,0
132,41,145.5986395,0
497,41,8.612244898,
862,41,147.7210884,0
133,42,125.2993197,0
498,42,7.040816327,
863,42,144.7414966,0
134,43,152.6666667,0
499,43,11.99319728,
864,43,153.5714286,0
135,44,152.9319728,0
500,44,68.45578231,
865,44,129.829932,0
136,45,158.0204082,0.2
501,45,145.6054422,
866,45,160.0272109,0.3
137,46,72.65986395,3.8
502,46,109.0544218,0
867,46,161.755102,-0.3
138,47,153.7959184,0
503,47,119.5646259,0
868,47,160.8503401,0
139,48,36.06122449,9.9
504,48,159.1632653,0
869,48,168.5306122,0
140,49,80.17687075,2.8
505,49,137.5646259,0.3
870,49,157.707483,0
141,50,52.54421769,1.1
506,50,171.6394558,0
871,50,111.4421769,0
142,51,179.952381,0
507,51,176.6938776,0
872,51,75.5170068,4.1
143,52,182.9047619,0
508,52,155.3469388,0.5
873,52,79.92517007,10.4
144,53,188.9727891,-0.3
509,53,4.06122449,33.5
874,53,66.44217687,9.9
145,54,194.4013605,0
510,54,113.6734694,1
875,54,59.05442177,19.3
146,55,196.7823129,0.3
511,55,103.6326531,11.4
876,55,3.659863946,28.7
147,56,171.659864,0
512,56,52.73469388,38.4
877,56,129.0136054,0
148,57,107.3197279,12.1
513,57,11.30612245,43.2
878,57,194.4421769,0
149,58,16.55782313,68.4
514,58,115.7142857,6.42
879,58,194.292517,0
150,59,5.619047619,29.9
515,59,168.8707483,0.68
880,59,213.2380952,0
151,60,148.2653061,-0.2
